image_name,is_cropped,total_area,roi_area,processing_time
image.4442_with_target,True,127,127,-1740975887162.7744
image.4956_with_target,True,42,42,-1740975887162.8818
image.9853_with_target,True,258,258,-1740975887162.7236
image.6108_with_target,True,5,5,-1740975887162.4668
image.8670_with_target,True,5,5,-1740975887161.4146
image.8865_with_target,True,5,5,-1740975887162.7341
image.1268_with_target,True,252,252,-1740975887162.742
image.6899_with_target,True,44,44,-1740975887162.5674
image.9964_with_target,True,265,265,-1740975887162.6736
image.9013_with_target,True,1444,1444,-1740975887162.408
image.2836_with_target,True,5,5,-1740975887162.8618
image.7879_with_target,True,510,510,-1740975887162.6877
image.5827_with_target,True,5,5,-1740975887162.6958
image.7672_with_target,True,1236,1236,-1740975887162.776
image.8786_with_target,True,10,10,-1740975887162.5662
image.8366_with_target,True,1452,1452,-1740975887162.685
image.6531_with_target,True,5,5,-1740975887162.7336
image.1609_with_target,True,5,5,-1740975887162.6729
image.4978_with_target,True,243,243,-1740975887162.7815
image.1517_with_target,True,1350,1350,-1740975887162.7002
image.9565_with_target,True,5,5,-1740975887162.5796
image.8484_with_target,True,194,194,-1740975887162.7952
image.5396_with_target,True,1441,1441,-1740975887162.754
image.1126_with_target,True,5,5,-1740975887162.8901
image.0721_with_target,True,83,83,-1740975887162.7876
image.4025_with_target,True,65,65,-1740975887162.5103
image.9812_with_target,True,5,5,-1740975887162.8398
image.6887_with_target,True,435,435,-1740975887162.5466
image.4510_with_target,True,1405,1405,-1740975887162.8472
image.9156_with_target,True,5,5,-1740975887162.7236
image.3069_with_target,True,144,144,-1740975887162.4663
image.1025_with_target,True,119,119,-1740975887162.8535
image.3141_with_target,True,1377,1377,-1740975887162.8398
image.9757_with_target,True,5,5,-1740975887162.8657
image.5887_with_target,True,250,250,-1740975887162.6523
image.1796_with_target,True,98,98,-1740975887162.092
image.6682_with_target,True,109,109,-1740975887162.8489
image.4224_with_target,True,1313,1313,-1740975887162.7842
image.5255_with_target,True,390,390,-1740975887162.7007
image.5967_with_target,True,59,59,-1740975887162.7969
image.0288_with_target,True,199,199,-1740975887162.7146
image.8032_with_target,True,5,5,-1740975887162.7646
image.8425_with_target,True,5,5,-1740975887162.847
image.7074_with_target,True,110,110,-1740975887162.713
image.4817_with_target,True,133,133,-1740975887162.7874
image.8491_with_target,True,49,49,-1740975887162.6516
image.8134_with_target,True,1285,1285,-1740975887162.8296
image.5256_with_target,True,1408,1408,-1740975887162.768
image.3444_with_target,True,5,5,-1740975887162.8215
image.8196_with_target,True,5,5,-1740975887162.8157
image.9962_with_target,True,1335,1335,-1740975887162.7937
image.7581_with_target,True,101,101,-1740975887162.8018
image.1601_with_target,True,35,35,-1740975887162.8076
image.1537_with_target,True,1365,1365,-1740975887162.7932
image.3865_with_target,True,5,5,-1740975887162.844
image.7106_with_target,True,1421,1421,-1740975887162.782
image.5623_with_target,True,1354,1354,-1740975887162.506
image.2695_with_target,True,61,61,-1740975887162.6646
image.0236_with_target,True,1356,1356,-1740975887162.6929
image.5919_with_target,True,1368,1368,-1740975887162.7542
image.7738_with_target,True,155,155,-1740975887162.778
image.5266_with_target,True,148,148,-1740975887162.7246
image.6999_with_target,True,5,5,-1740975887162.722
image.4676_with_target,True,1343,1343,-1740975887162.5627
image.4292_with_target,True,1384,1384,-1740975887162.8171
image.9061_with_target,True,25,25,-1740975887162.1523
image.5403_with_target,True,1380,1380,-1740975887162.8232
image.1098_with_target,True,321,321,-1740975887162.1772
image.5284_with_target,True,443,443,-1740975887162.6257
image.0366_with_target,True,5,5,-1740975887162.8147
image.9614_with_target,True,5,5,-1740975887162.1396
image.3090_with_target,True,1384,1384,-1740975887162.571
image.3349_with_target,True,393,393,-1740975887162.5962
image.4009_with_target,True,249,249,-1740975887162.8423
image.8781_with_target,True,5,5,-1740975887162.5583
image.3278_with_target,True,5,5,-1740975887162.8713
image.0427_with_target,True,1314,1314,-1740975887162.7727
image.2819_with_target,True,416,416,-1740975887162.783
image.8957_with_target,True,5,5,-1740975887162.825
image.1096_with_target,True,5,5,-1740975887162.8977
image.5525_with_target,True,1508,1508,-1740975887162.676
image.2206_with_target,True,489,489,-1740975887162.7942
image.5035_with_target,True,301,301,-1740975887162.807
image.1024_with_target,True,5,5,-1740975887161.3506
image.6347_with_target,True,44,44,-1740975887162.7957
image.0023_with_target,True,5,5,-1740975887162.7422
image.3993_with_target,True,1607,1607,-1740975887162.5994
image.9700_with_target,True,1506,1506,-1740975887162.4902
