image_name,is_cropped,total_area,roi_area,processing_time
image.4550_with_target,False,33584,33584,-1740975890595.9502
image.6587_with_target,False,23411,23411,-1740975890594.4365
image.5044_with_target,False,23945,23945,-1740975890596.008
image.5855_with_target,False,22808,22803,-1740975890594.6943
image.8400_with_target,False,23852,23852,-1740975890596.2034
image.0901_with_target,False,23755,23755,-1740975890596.1726
image.2346_with_target,False,23561,23561,-1740975890596.1738
image.6006_with_target,False,22986,22986,-1740975890595.3264
image.1936_with_target,False,23797,23797,-1740975890596.1782
image.3215_with_target,False,21272,21272,-1740975890596.145
image.8059_with_target,False,23697,23697,-1740975890596.0398
image.4553_with_target,False,23747,23747,-1740975890596.1667
image.0127_with_target,False,21194,21194,-1740975890596.2085
image.1603_with_target,False,23713,23713,-1740975890596.167
image.3102_with_target,False,22837,22837,-1740975890596.1506
image.2322_with_target,False,23762,23762,-1740975890596.1592
image.1720_with_target,False,20922,20922,-1740975890596.0173
image.5539_with_target,False,21399,21399,-1740975890596.2188
image.9074_with_target,False,21254,21254,-1740975890596.179
image.1825_with_target,False,22993,22993,-1740975890596.2073
image.2577_with_target,False,23922,23922,-1740975890596.1648
image.3341_with_target,False,23681,23681,-1740975890596.194
image.2609_with_target,False,20860,20860,-1740975890595.7446
image.3192_with_target,False,22916,22916,-1740975890596.2373
image.1909_with_target,False,22720,22720,-1740975890596.029
image.5203_with_target,False,23720,23720,-1740975890596.181
image.7075_with_target,False,23536,23536,-1740975890595.0674
image.1928_with_target,False,45968,45968,-1740975890595.9663
image.6965_with_target,False,22783,22783,-1740975890595.9756
image.3410_with_target,False,22846,22846,-1740975890596.153
image.1244_with_target,False,21331,21331,-1740975890595.7776
image.4845_with_target,False,23719,23719,-1740975890596.016
image.3679_with_target,False,21078,21078,-1740975890595.6003
image.0226_with_target,False,20734,20699,-1740975890596.1384
image.0499_with_target,False,23027,23027,-1740975890595.643
image.3690_with_target,False,23781,23781,-1740975890596.163
image.6590_with_target,False,22831,22831,-1740975890595.5706
image.3237_with_target,False,23795,23795,-1740975890592.6482
image.1737_with_target,False,23658,23658,-1740975890596.126
image.3936_with_target,False,23763,23763,-1740975890595.9272
image.1449_with_target,False,23778,23778,-1740975890595.1028
image.0069_with_target,False,20714,20714,-1740975890595.7998
image.5578_with_target,False,20978,20978,-1740975890595.888
image.4992_with_target,False,22812,22812,-1740975890595.8926
image.2904_with_target,False,20968,20968,-1740975890596.2249
image.6796_with_target,False,22904,22904,-1740975890596.256
image.2492_with_target,False,21451,21451,-1740975890596.013
image.7230_with_target,False,23770,23770,-1740975890593.1174
